A,8
G,53
G,55
A,57
A,65
G,83
G,91
G,94
A,95
A,101
A,117
A,118
A,123
G,125
G,126
A,141
A,142
A,146
A,154
G,158
G,170
G,190
A,202
E,204
G,207
A,210
G,212
G,235
A,237
A,249
A,252
G,263
A,284
A,301
A,351
A,355
A,356
A,382
A,383
G,396
G,410
A,414
A,417
G,436
A,439
A,448
A,461
A,464
G,491
G,496
G,510
G,512
A,516
A,522
G,530
G,540
A,543
A,567
G,575
A,577
G,584
G,586
A,612
A,626
G,635
A,642
A,702
A,708
A,715
G,716
A,728
A,733
A,765
G,769
A,772
A,779
A,780
A,795
A,802
A,807
A,813
G,830
A,849
A,854
A,868
A,888
G,892
A,920
A,939
A,949
A,951
A,970
A,973
G,974
G,1020
G,1027
A,1040
G,1052
A,1055
A,1060
G,1069
A,1103
A,1109
A,1113
A,1118
G,1120
A,1128
G,1129
A,1134
A,1138
A,1172
A,1195
A,1196
G,1225
A,1234
G,1249
A,1256
G,1294
D,1302
A,1321
A,1326
A,1335
G,1366
A,1371
A,1384
A,1394
A,1424
G,1435
G,1440
A,1444
G,1480
A,1489
G,1522
A,1524
A,1527
A,1533
A,1572
A,1589
G,1615
G,1632
A,1646
A,1660
G,1675
G,1708
A,1710
G,1715
A,1718
A,1724
A,1746
A,1750
A,1793
A,1821
A,1826
G,1828
G,1830
A,1848
A,1852
G,1855
A,1859
G,1878
A,1881
G,1883
A,1924
A,1927
A,1939
G,1940
G,1981
A,1982
A,1985
A,2001
A,2013
G,2047
G,2051
G,2057
G,2071
A,2076
G,2094
A,2105
G,2118
A,2145
A,2184
G,2191
G,2195
G,2201
A,2202
A,2209
A,2218
A,2244
A,2247
A,2249
A,2258
G,2262
A,2276
A,2278
A,2291
A,2316
A,2350
G,2387
G,2389
A,2390
A,2400
G,2402
A,2417
F,2436
A,2445
A,2448
A,2468
G,2478
G,2491
G,2528
G,2535
A,2543
G,2554
F,2556
A,2558
A,2562
A,2566
A,2575
G,2578
A,2594
G,2600
A,2605
A,2622
G,2628
A,2629
A,2631
A,2640
G,2646
A,2675
A,2694
G,2698
G,2701
G,2706
G,2707
A,2710
G,2715
G,2726
A,2745
A,2750
G,2751
