A,7
A,9
G,16
A,63
A,64
D,69
A,82
G,114
G,124
A,127
A,150
G,155
A,163
G,180
A,197
G,205
G,226
G,229
A,234
A,254
A,256
A,270
G,277
G,294
A,296
A,306
E,310
A,314
G,340
A,412
A,415
G,446
A,447
G,456
A,481
A,503
A,504
G,505
A,509
G,517
A,518
G,526
G,528
A,536
G,538
G,556
G,592
A,604
A,609
A,622
A,634
G,640
A,649
A,654
A,655
A,672
A,686
A,691
A,704
G,710
A,725
A,731
G,735
A,748
G,768
F,773
G,792
G,801
F,806
G,823
A,842
A,851
G,853
G,855
A,874
A,881
A,883
A,902
A,913
A,930
A,942
A,948
G,954
A,978
G,980
G,986
A,994
A,998
A,1001
A,1032
G,1041
A,1043
A,1048
A,1063
G,1086
A,1091
A,1096
G,1110
A,1114
A,1115
G,1142
G,1156
A,1166
A,1182
A,1183
A,1211
A,1221
A,1230
G,1241
A,1246
A,1254
A,1278
G,1287
A,1297
A,1300
A,1307
G,1338
G,1339
A,1344
G,1367
G,1370
G,1373
A,1377
A,1387
A,1400
A,1405
A,1412
A,1418
G,1420
A,1422
A,1454
A,1461
A,1485
G,1514
G,1546
G,1554
G,1562
A,1563
A,1564
A,1577
G,1585
G,1588
G,1617
A,1624
G,1626
G,1629
A,1630
A,1634
A,1636
A,1643
A,1647
G,1669
A,1680
G,1684
A,1691
A,1701
G,1707
A,1751
A,1752
A,1755
G,1762
G,1765
A,1766
A,1781
G,1798
G,1802
A,1814
A,1815
G,1834
A,1841
A,1850
A,1871
G,1874
A,1892
G,1904
A,1917
A,1921
G,1930
A,1952
A,1957
A,1966
A,1972
A,1974
G,1977
A,2002
A,2050
A,2052
G,2069
G,2077
G,2085
A,2100
G,2107
A,2150
A,2159
A,2161
G,2167
A,2200
G,2206
A,2225
A,2227
G,2230
G,2234
G,2235
G,2261
A,2287
G,2292
A,2294
G,2295
G,2313
A,2324
A,2332
G,2339
A,2342
G,2349
A,2356
A,2372
A,2385
A,2420
G,2428
A,2483
A,2488
A,2501
G,2502
A,2536
G,2539
A,2560
A,2561
G,2572
A,2582
A,2606
A,2607
A,2609
A,2612
A,2623
A,2624
A,2650
A,2674
G,2696
G,2727
A,2747
